ROI_type,dice_coef,task,,,
Vessel,0.672506659,train,,,
Vessel,0.492793015,train,,,
Vessel,0.50876207,train,,,
Vessel,0.522001004,train,,,
Vessel,0.590554869,train,,,
Vessel,0.482478862,train,,,
Vessel,0.620362028,train,,,
Vessel,0.728859793,train,,,
Vessel,0.318576573,train,,,
Vessel,0.711070639,train,,,
Vessel,0.656994565,train,,,
Vessel,0.630330959,train,,,
Vessel,0.515471994,train,,,
Vessel,0.643685365,train,,,
Vessel,0.468985456,train,,,
Vessel,0.652660045,train,,,
Vessel,0.71562719,train,,,
Vessel,0.542653865,train,,,
Vessel,0.5855127,train,,,
Vessel,0.66897797,train,,,
Vessel,0.633556794,train,,,
Vessel,0.588136353,train,,,
Vessel,0.646473442,train,,,
Vessel,0.65768988,train,,,
Vessel,0.489426278,train,,,
Vessel,0.692544912,train,,,
Vessel,0.701310753,train,,,
Vessel,0.655163728,train,,,
Vessel,0.574668275,train,,,
Vessel,0.020955406,train,,,
Vessel,0.720397316,train,,,
Vessel,0.753541076,train,,,
Vessel,0.372610694,train,,,
Vessel,0.496657519,train,,,
Vessel,0.468262026,train,,,
Vessel,0.231010297,train,,,
Vessel,0.393362913,train,,,
Vessel,0.644085371,train,,,
Vessel,0.701167968,train,,,
Vessel,0.712227009,train,,,
Vessel,0.463219027,train,,,
Vessel,0.662453743,train,,,
Vessel,0.601402646,train,,,
Vessel,0.316020262,train,,,
Vessel,0.638032925,train,,,
Vessel,0.704506232,train,,,
Vessel,0.02365669,train,,,
Vessel,0.686237809,train,,,
Vessel,0.66624907,train,,,
Vessel,0.71141919,train,,,
Vessel,0.718223957,train,,,
Vessel,0.609639555,train,,,
Vessel,0.623552864,train,,,
Vessel,0.690407405,train,,,
Vessel,0.410211268,train,,,
Vessel,0.697542915,train,,,
Vessel,0.601090689,train,,,
Vessel,0.731144999,train,,,
Vessel,0.713172846,train,,,
Vessel,0.643046358,train,,,
Vessel,0.563666065,train,,,
Vessel,0.666176667,train,,,
Vessel,0.644581047,train,,,
Vessel,0.633432981,train,,,
Vessel,0.641983696,train,,,
Vessel,0.702789927,train,,,
Vessel,0.632317238,train,,,
Vessel,0.703986919,train,,,
Vessel,0.746369672,train,,,
Vessel,0.560302655,train,,,
Vessel,0.689099799,train,,,
Vessel,0.69473275,train,,,
Vessel,0.757604895,train,,,
Vessel,0.776601109,train,,,
