ROI_type,dice_coef,task,,,
Anterior,0.940819423,train,,,
Anterior,0.896877956,train,,,
Anterior,0.89632107,train,,,
Anterior,0.885360728,train,,,
Anterior,0.925571505,train,,,
Anterior,0.913773148,train,,,
Anterior,0.927386456,train,,,
Anterior,0.897117296,train,,,
Anterior,0.864390244,train,,,
Anterior,0.916119621,train,,,
Anterior,0.911186796,train,,,
Anterior,0.884661118,train,,,
Anterior,0.87752809,train,,,
Anterior,0.913480885,train,,,
Anterior,0.894190871,train,,,
Anterior,0.919691969,train,,,
Anterior,0.908944831,train,,,
Anterior,0.927213471,train,,,
Anterior,0.91160221,train,,,
Anterior,0.909090909,train,,,
Anterior,0.843319449,train,,,
Anterior,0.853958274,train,,,
Anterior,0.922550696,train,,,
Anterior,0.908364411,train,,,
Anterior,0.813282843,train,,,
Anterior,0.847210541,train,,,
Anterior,0.928400955,train,,,
Anterior,0.878751501,train,,,
Anterior,0.882314694,train,,,
Anterior,0.923719958,train,,,
Anterior,0.920584329,train,,,
Anterior,0.895590471,train,,,
Anterior,0.893602463,train,,,
Anterior,0.890799656,train,,,
Anterior,0.940713854,train,,,
Anterior,0.932194617,train,,,
Anterior,0.915254237,train,,,
Anterior,0.905766526,train,,,
Anterior,0.943396226,train,,,
Anterior,0.905309518,train,,,
Anterior,0.938586327,train,,,
Anterior,0.904365904,train,,,
Anterior,0.928249775,train,,,
Anterior,0.880718496,train,,,
Anterior,0.882083773,train,,,
Anterior,0.916531605,train,,,
Anterior,0.933918431,train,,,
Anterior,0.932796531,train,,,
Anterior,0.932142857,train,,,
Anterior,0.953566796,train,,,
Anterior,0.93686747,train,,,
Anterior,0.89202454,train,,,
Anterior,0.900863196,train,,,
Anterior,0.932785661,train,,,
Anterior,0.944860449,train,,,
Anterior,0.932756133,train,,,
Anterior,0.901617251,train,,,
Anterior,0.897694524,train,,,
Anterior,0.919603524,train,,,
Anterior,0.936670459,train,,,
Anterior,0.909962342,train,,,
Anterior,0.901419878,train,,,
Anterior,0.910047052,train,,,
Anterior,0.853965184,train,,,
Anterior,0.872673849,train,,,
Anterior,0.877213695,train,,,
Anterior,0.912458918,train,,,
Anterior,0.932371024,train,,,
Anterior,0.933844679,train,,,
Anterior,0.916613214,train,,,
Anterior,0.868268803,train,,,
Anterior,0.910146699,train,,,
Anterior,0.900662252,train,,,
Anterior,0.889752017,train,,,
Anterior,0.949925037,train,,,
Anterior,0.934489403,train,,,
Anterior,0.922355699,train,,,
Anterior,0.903018626,train,,,
Anterior,0.931680295,train,,,
Anterior,0.921315109,train,,,
Anterior,0.936468936,train,,,
Anterior,0.939307536,train,,,
Anterior,0.935471255,train,,,
Anterior,0.923545074,train,,,
Anterior,0.897027143,train,,,
Anterior,0.926637897,train,,,
Anterior,0.926351028,train,,,
Anterior,0.947134387,train,,,
Anterior,0.913220734,train,,,
Anterior,0.921870097,train,,,
Anterior,0.93859121,train,,,
Anterior,0.933656174,train,,,
Anterior,0.952261307,train,,,
Anterior,0.893229167,train,,,
Anterior,0.888998277,train,,,
Anterior,0.913630229,train,,,
Anterior,0.886686311,train,,,
Anterior,0.920306966,train,,,
Anterior,0.945893985,train,,,
Anterior,0.932963989,train,,,
Anterior,0.888955403,train,,,
Anterior,0.858042509,train,,,
Anterior,0.924724409,train,,,
Anterior,0.915426252,train,,,
Anterior,0.925174825,train,,,
Anterior,0.903623188,train,,,
Anterior,0.952328465,train,,,
Anterior,0.93759361,train,,,
Anterior,0.910260752,train,,,
Anterior,0.923837209,train,,,
Anterior,0.916208347,train,,,
Anterior,0.910333049,train,,,
Anterior,0.916666667,train,,,
Anterior,0.948368443,train,,,
Anterior,0.93859037,train,,,
Anterior,0.91440723,train,,,
Anterior,0.925593668,train,,,
Anterior,0.949077897,train,,,
Anterior,0.906397306,train,,,
Anterior,0.937007874,train,,,
Anterior,0.937192475,train,,,
Anterior,0.92536205,train,,,
Anterior,0.941439761,train,,,
Anterior,0.936921783,train,,,
Anterior,0.922051579,train,,,
Anterior,0.906193078,train,,,
Anterior,0.931612903,train,,,
Anterior,0.94216362,train,,,
Anterior,0.897175141,train,,,
Anterior,0.939666239,train,,,
Anterior,0.933866503,train,,,
Anterior,0.939820022,train,,,
Anterior,0.939597315,train,,,
Anterior,0.943013699,train,,,
Anterior,0.885099685,train,,,
Anterior,0.926796953,train,,,
Anterior,0.913249651,train,,,
Anterior,0.900656814,train,,,
Anterior,0.858895706,train,,,
Anterior,0.880385658,train,,,
Anterior,0.914216867,train,,,
Anterior,0.939407745,train,,,
Anterior,0.901645618,train,,,
Anterior,0.920610292,train,,,
Anterior,0.906504065,train,,,
Anterior,0.94153637,train,,,
Anterior,0.931950745,train,,,
Anterior,0.892244898,train,,,
Anterior,0.912433155,train,,,
Anterior,0.856963219,train,,,
Anterior,0.874424721,train,,,
Anterior,0.840996169,train,,,
Anterior,0.879898057,train,,,
Anterior,0.907103825,train,,,
Anterior,0.952188006,train,,,
Anterior,0.894352159,train,,,
Anterior,0.875349357,train,,,
Anterior,0.81025958,train,,,
Anterior,0.847708511,train,,,
Anterior,0.918871252,train,,,
Anterior,0.893159977,train,,,
Anterior,0.929551267,train,,,
Anterior,0.948693127,train,,,
Anterior,0.884801104,train,,,
Anterior,0.852987421,train,,,
Anterior,0.937734434,train,,,
Anterior,0.929505814,train,,,
Anterior,0.857142857,train,,,
Anterior,0.936819172,train,,,
Anterior,0.933368588,train,,,
Anterior,0.907096332,train,,,
Anterior,0.862662452,train,,,
Anterior,0.871076233,train,,,
Anterior,0.858908342,train,,,
Anterior,0.889867841,train,,,
Anterior,0.916767189,train,,,
Anterior,0.838760298,train,,,
Anterior,0.846098783,train,,,
Anterior,0.839292731,train,,,
Anterior,0.94603976,train,,,
Posterior,0.905738924,train,,,
Posterior,0.895089286,train,,,
Posterior,0.874133333,train,,,
Posterior,0.900152827,train,,,
Posterior,0.898405752,train,,,
Posterior,0.90970516,train,,,
Posterior,0.893630373,train,,,
Posterior,0.844378698,train,,,
Posterior,0.843837535,train,,,
Posterior,0.900780379,train,,,
Posterior,0.853897128,train,,,
Posterior,0.872989826,train,,,
Posterior,0.852291105,train,,,
Posterior,0.896482913,train,,,
Posterior,0.866981769,train,,,
Posterior,0.907950983,train,,,
Posterior,0.894769231,train,,,
Posterior,0.909526663,train,,,
Posterior,0.88332812,train,,,
Posterior,0.885874373,train,,,
Posterior,0.840768278,train,,,
Posterior,0.835718374,train,,,
Posterior,0.908545727,train,,,
Posterior,0.901769372,train,,,
Posterior,0.819994951,train,,,
Posterior,0.81613462,train,,,
Posterior,0.919289498,train,,,
Posterior,0.870712401,train,,,
Posterior,0.854221443,train,,,
Posterior,0.878700361,train,,,
Posterior,0.903448276,train,,,
Posterior,0.902147971,train,,,
Posterior,0.889222456,train,,,
Posterior,0.886929134,train,,,
Posterior,0.926816654,train,,,
Posterior,0.93145275,train,,,
Posterior,0.903819918,train,,,
Posterior,0.903587444,train,,,
Posterior,0.941863862,train,,,
Posterior,0.897513645,train,,,
Posterior,0.940524194,train,,,
Posterior,0.894234441,train,,,
Posterior,0.909807011,train,,,
Posterior,0.853871648,train,,,
Posterior,0.887072358,train,,,
Posterior,0.929515419,train,,,
Posterior,0.919943423,train,,,
Posterior,0.924309884,train,,,
Posterior,0.925577417,train,,,
Posterior,0.940076965,train,,,
Posterior,0.904208195,train,,,
Posterior,0.903406202,train,,,
Posterior,0.905849862,train,,,
Posterior,0.902251354,train,,,
Posterior,0.925094725,train,,,
Posterior,0.921018781,train,,,
Posterior,0.896652965,train,,,
Posterior,0.872738239,train,,,
Posterior,0.899769964,train,,,
Posterior,0.919708029,train,,,
Posterior,0.917146974,train,,,
Posterior,0.844214162,train,,,
Posterior,0.889079966,train,,,
Posterior,0.864728899,train,,,
Posterior,0.863636364,train,,,
Posterior,0.888187872,train,,,
Posterior,0.91082129,train,,,
Posterior,0.936945813,train,,,
Posterior,0.935500787,train,,,
Posterior,0.937024643,train,,,
Posterior,0.844030118,train,,,
Posterior,0.907366424,train,,,
Posterior,0.913193356,train,,,
Posterior,0.879932117,train,,,
Posterior,0.928994083,train,,,
Posterior,0.905692438,train,,,
Posterior,0.909794582,train,,,
Posterior,0.907828984,train,,,
Posterior,0.909655387,train,,,
Posterior,0.891184065,train,,,
Posterior,0.908585332,train,,,
Posterior,0.92202659,train,,,
Posterior,0.904397706,train,,,
Posterior,0.901776735,train,,,
Posterior,0.907332796,train,,,
Posterior,0.92703533,train,,,
Posterior,0.894853173,train,,,
Posterior,0.926262943,train,,,
Posterior,0.879704797,train,,,
Posterior,0.922734499,train,,,
Posterior,0.898996236,train,,,
Posterior,0.914300465,train,,,
Posterior,0.919461164,train,,,
Posterior,0.843480843,train,,,
Posterior,0.843578819,train,,,
Posterior,0.895187166,train,,,
Posterior,0.855957321,train,,,
Posterior,0.918021905,train,,,
Posterior,0.925673973,train,,,
Posterior,0.907286646,train,,,
Posterior,0.894161557,train,,,
Posterior,0.854075159,train,,,
Posterior,0.898151261,train,,,
Posterior,0.9,train,,,
Posterior,0.895311496,train,,,
Posterior,0.879539952,train,,,
Posterior,0.924378924,train,,,
Posterior,0.911167513,train,,,
Posterior,0.908952574,train,,,
Posterior,0.921015515,train,,,
Posterior,0.898155573,train,,,
Posterior,0.862042089,train,,,
Posterior,0.914436736,train,,,
Posterior,0.946554622,train,,,
Posterior,0.91479159,train,,,
Posterior,0.888525484,train,,,
Posterior,0.917554683,train,,,
Posterior,0.935793925,train,,,
Posterior,0.916346892,train,,,
Posterior,0.919168591,train,,,
Posterior,0.908414425,train,,,
Posterior,0.901721664,train,,,
Posterior,0.910662824,train,,,
Posterior,0.937517053,train,,,
Posterior,0.915428918,train,,,
