ROI_type,dice_coef,task,,,
pancreas,0.712839147,train,,,
pancreas,0.633423623,train,,,
pancreas,0.505750974,train,,,
pancreas,0.550641803,train,,,
pancreas,0.496640257,train,,,
pancreas,0.529997417,train,,,
pancreas,0.724412873,train,,,
pancreas,0.728063514,train,,,
pancreas,0.772644503,train,,,
pancreas,0.773898432,train,,,
pancreas,0.577916493,train,,,
pancreas,0.468875308,train,,,
pancreas,0.737704918,train,,,
pancreas,0.820742085,train,,,
pancreas,0.729984968,train,,,
pancreas,0.779743727,train,,,
pancreas,0.583921465,train,,,
pancreas,0.510485996,train,,,
pancreas,0.36810213,train,,,
pancreas,0.616100303,train,,,
pancreas,0.40202205,train,,,
pancreas,0.610976974,train,,,
pancreas,0.38071496,train,,,
pancreas,0.813006503,train,,,
pancreas,0.800776073,train,,,
pancreas,0.675561526,train,,,
pancreas,0.663033281,train,,,
pancreas,0.749155194,train,,,
pancreas,0.814837263,train,,,
pancreas,0.572005251,train,,,
pancreas,0.772855796,train,,,
pancreas,0.474120343,train,,,
pancreas,0.609841368,train,,,
pancreas,0.478351407,train,,,
pancreas,0.38030377,train,,,
pancreas,0.86137004,train,,,
pancreas,0.286186017,train,,,
pancreas,0.728361983,train,,,
pancreas,0.226080355,train,,,
pancreas,0.468112769,train,,,
pancreas,0.790960452,train,,,
pancreas,0.647781974,train,,,
pancreas,0.729220339,train,,,
pancreas,0.739863556,train,,,
pancreas,0.759794286,train,,,
pancreas,0.765971721,train,,,
pancreas,0.757133949,train,,,
pancreas,0.572344943,train,,,
pancreas,0.266343277,train,,,
pancreas,0.631463187,train,,,
pancreas,0.713513126,train,,,
pancreas,0.491726503,train,,,
pancreas,0.422820128,train,,,
pancreas,0.641581067,train,,,
pancreas,0.779427904,train,,,
pancreas,0.734361152,train,,,
pancreas,0.768003184,train,,,
pancreas,0.518405907,train,,,
pancreas,0.598922357,train,,,
pancreas,0.718119326,train,,,
pancreas,0.32646055,train,,,
pancreas,0.500105369,train,,,
pancreas,0.788879832,train,,,
pancreas,0.805253701,train,,,
pancreas,0.256424389,train,,,
pancreas,0.670312347,train,,,
pancreas,0.66359197,train,,,
pancreas,0.751830239,train,,,
pancreas,0.736144668,train,,,
pancreas,0.679102874,train,,,
pancreas,0.721220273,train,,,
pancreas,0.749589431,train,,,
pancreas,0.832079791,train,,,
pancreas,0.750189089,train,,,
pancreas,0.770374449,train,,,
pancreas,0.466440444,train,,,
pancreas,0.660418671,train,,,
pancreas,0.786627848,train,,,
pancreas,0.601738807,train,,,
pancreas,0.587655697,train,,,
pancreas,0.292637969,train,,,
pancreas,0.619811953,train,,,
pancreas,0.791521468,train,,,
pancreas,0.724848057,train,,,
pancreas,0.78130565,train,,,
pancreas,0.620289915,train,,,
pancreas,0.119796182,train,,,
pancreas,0.462007701,train,,,
pancreas,0.758185416,train,,,
pancreas,0.361316189,train,,,
pancreas,0.73148914,train,,,
pancreas,0.642555122,train,,,
pancreas,0.701979145,train,,,
pancreas,0.308487905,train,,,
pancreas,0.782162077,train,,,
pancreas,0.639739414,train,,,
pancreas,0.675717204,train,,,
pancreas,0.669402701,train,,,
pancreas,0.741475685,train,,,
pancreas,0.686519522,train,,,
pancreas,0.701664949,train,,,
pancreas,0.511520241,train,,,
pancreas,0.806012002,train,,,
pancreas,0.72449565,train,,,
pancreas,0.811713343,train,,,
pancreas,0.884812983,train,,,
pancreas,0.706553987,train,,,
pancreas,0.85694447,train,,,
pancreas,0.705231092,train,,,
pancreas,0.487472467,train,,,
pancreas,0.321653666,train,,,
pancreas,0.557994566,train,,,
pancreas,0.748521588,train,,,
pancreas,0.340583554,train,,,
pancreas,0.587161033,train,,,
pancreas,0.546760891,train,,,
pancreas,0.417960877,train,,,
pancreas,0.717994325,train,,,
pancreas,0.700358316,train,,,
pancreas,0.641398312,train,,,
pancreas,0.673422773,train,,,
pancreas,0.734730964,train,,,
pancreas,0.384031792,train,,,
pancreas,0.73556146,train,,,
pancreas,0.78656726,train,,,
pancreas,0.456550475,train,,,
pancreas,0.630366155,train,,,
pancreas,0.698802628,train,,,
pancreas,0.461475343,train,,,
pancreas,0.853106872,train,,,
pancreas,0.717817649,train,,,
pancreas,0.726150332,train,,,
pancreas,0.649211356,train,,,
pancreas,0.801266096,train,,,
pancreas,0.695673193,train,,,
pancreas,0.538754378,train,,,
pancreas,0.800904564,train,,,
pancreas,0.780512843,train,,,
pancreas,0.866320336,train,,,
pancreas,0.508758568,train,,,
pancreas,0.704439697,train,,,
pancreas,0.507297368,train,,,
pancreas,0.381787667,train,,,
pancreas,0.748279993,train,,,
pancreas,0.829433743,train,,,
pancreas,0.796458784,train,,,
pancreas,0.601053754,train,,,
pancreas,0.753449016,train,,,
pancreas,0.555764102,train,,,
pancreas,0.325373134,train,,,
pancreas,0.817669624,train,,,
pancreas,0.881026321,train,,,
pancreas,0.854028111,train,,,
pancreas,0.769665826,train,,,
pancreas,0.551449312,train,,,
pancreas,0.636211149,train,,,
pancreas,0.613115151,train,,,
pancreas,0.815178758,train,,,
pancreas,0.826002002,train,,,
pancreas,0.731453175,train,,,
pancreas,0.552481659,train,,,
pancreas,0.737511885,train,,,
pancreas,0.813041496,train,,,
pancreas,0.860596774,train,,,
pancreas,0.67250828,train,,,
pancreas,0.731571834,train,,,
pancreas,0.696412808,train,,,
pancreas,0.530656374,train,,,
pancreas,0.603737743,train,,,
pancreas,0.617869047,train,,,
pancreas,0.796914176,train,,,
pancreas,0.682881476,train,,,
pancreas,0.864617459,train,,,
pancreas,0.702225955,train,,,
pancreas,0.782543007,train,,,
pancreas,0.776264198,train,,,
pancreas,0.780643107,train,,,
pancreas,0.847593181,train,,,
pancreas,0.445106794,train,,,
pancreas,0.700859111,train,,,
pancreas,0.579895383,train,,,
pancreas,0.645880623,train,,,
pancreas,0.571434242,train,,,
pancreas,0.56952955,train,,,
pancreas,0.551070286,train,,,
pancreas,0.858287311,train,,,
pancreas,0.688348389,train,,,
pancreas,0.684782374,train,,,
pancreas,0.342941701,train,,,
pancreas,0.776705233,train,,,
pancreas,0.582360546,train,,,
pancreas,0.731005739,train,,,
pancreas,0.836789982,train,,,
pancreas,0.698827496,train,,,
pancreas,0.635377246,train,,,
pancreas,0.497174202,train,,,
pancreas,0.534800946,train,,,
pancreas,0.493071558,train,,,
pancreas,0.577177578,train,,,
pancreas,0.586320845,train,,,
tumor,0.43573893,train,,,
tumor,0.292682927,train,,,
tumor,0.587218558,train,,,
tumor,0.515909389,train,,,
tumor,0.320354472,train,,,
tumor,0.810552555,train,,,
tumor,0.350332594,train,,,
tumor,0.539864356,train,,,
tumor,0.561347233,train,,,
tumor,0.741120106,train,,,
tumor,0.58971872,train,,,
tumor,0.547057559,train,,,
tumor,0.52257361,train,,,
tumor,0,train,,,
tumor,0.604103012,train,,,
tumor,0.551308901,train,,,
tumor,0.85456821,train,,,
tumor,0.886369119,train,,,
tumor,0.852978778,train,,,
tumor,0.56180607,train,,,
tumor,0.830926972,train,,,
tumor,0.821059432,train,,,
tumor,0.001044932,train,,,
tumor,0.773154848,train,,,
tumor,0.714648416,train,,,
tumor,0.409725566,train,,,
tumor,0.816847479,train,,,
tumor,0.645459803,train,,,
tumor,0.475379939,train,,,
tumor,0.261133603,train,,,
tumor,0.039688164,train,,,
tumor,0.599217561,train,,,
tumor,0.441060904,train,,,
tumor,0.591252177,train,,,
tumor,0.712393958,train,,,
tumor,0.858749122,train,,,
tumor,0.816562108,train,,,
tumor,0.932310556,train,,,
tumor,0.536088679,train,,,
tumor,0.693170636,train,,,
tumor,0.681259843,train,,,
tumor,0.886671255,train,,,
tumor,0.813397129,train,,,
tumor,0.898980124,train,,,
tumor,0.819059884,train,,,
tumor,0.407837928,train,,,
tumor,0.866812227,train,,,
tumor,0,train,,,
tumor,0.848484848,train,,,
tumor,0.812031192,train,,,
tumor,0.101999184,train,,,
tumor,0.590659943,train,,,
tumor,0.631326949,train,,,
tumor,0.921801872,train,,,
tumor,0.228052914,train,,,
tumor,0.714764236,train,,,
tumor,0.725569491,train,,,
tumor,0.548751109,train,,,
tumor,0.868107538,train,,,
tumor,0.723866911,train,,,
tumor,0.829614893,train,,,
tumor,0.756880734,train,,,
tumor,0.737618546,train,,,
tumor,0.823943662,train,,,
tumor,0.050024522,train,,,
tumor,0,train,,,
tumor,0.752484619,train,,,
tumor,0.728744939,train,,,
tumor,0.798223976,train,,,
tumor,0.69022869,train,,,
tumor,0.830093504,train,,,
tumor,0.794220461,train,,,
tumor,0.715436674,train,,,
tumor,0.170326409,train,,,
tumor,0.873239437,train,,,
tumor,0.447793326,train,,,
tumor,0.825430594,train,,,
tumor,0.87804878,train,,,
tumor,0.897742364,train,,,
tumor,0.693977477,train,,,
tumor,0.446244477,train,,,
tumor,0.708702449,train,,,
tumor,0.742563349,train,,,
tumor,0.855893074,train,,,
tumor,0.768085986,train,,,
tumor,0.842641609,train,,,
tumor,0.741045341,train,,,
tumor,0.751200768,train,,,
tumor,0.195698925,train,,,
tumor,0.846522782,train,,,
tumor,0.812830455,train,,,
tumor,0.862415419,train,,,
tumor,0.619313647,train,,,
tumor,0.462432432,train,,,
tumor,0.562962963,train,,,
tumor,0.620072448,train,,,
tumor,0,train,,,
tumor,0.295016278,train,,,
tumor,0.712428014,train,,,
tumor,0.406734007,train,,,
tumor,0.483845548,train,,,
tumor,0.298076923,train,,,
tumor,0.837064677,train,,,
tumor,0.469387755,train,,,
tumor,0.645933014,train,,,
tumor,0.719512195,train,,,
tumor,0.786002372,train,,,
tumor,0.731619845,train,,,
tumor,0.729624665,train,,,
tumor,0.27254509,train,,,
tumor,0.475872534,train,,,
tumor,0.827095742,train,,,
tumor,0.632160619,train,,,
tumor,0.628359187,train,,,
tumor,0.745943638,train,,,
tumor,0.712624585,train,,,
tumor,0.846216436,train,,,
tumor,0.863336876,train,,,
tumor,0.918109016,train,,,
tumor,0.316722715,train,,,
tumor,0.761961016,train,,,
tumor,0.511149228,train,,,
tumor,0.282534247,train,,,
tumor,0.329946204,train,,,
tumor,0.416858966,train,,,
tumor,0.563546798,train,,,
tumor,0.584498094,train,,,
tumor,0.668559262,train,,,
tumor,0.846856529,train,,,
tumor,0.900769889,train,,,
tumor,0.585683297,train,,,
tumor,0.54954955,train,,,
tumor,0.124031008,train,,,
tumor,0.712254975,train,,,
tumor,0.747314867,train,,,
tumor,0.735737106,train,,,
tumor,0.480382775,train,,,
tumor,0.836586473,train,,,
tumor,0.639896929,train,,,
tumor,0.650455927,train,,,
tumor,0.741511036,train,,,
tumor,0.801859384,train,,,
tumor,0.790911705,train,,,
tumor,0.525953322,train,,,
tumor,0.781966576,train,,,
tumor,0.821917808,train,,,
tumor,0.803663423,train,,,
tumor,0.691449814,train,,,
tumor,0,train,,,
tumor,0.487295826,train,,,
tumor,0.669196711,train,,,
tumor,0.799145299,train,,,
tumor,0.849097473,train,,,
tumor,0.6595,train,,,
tumor,0,train,,,
tumor,0.662944461,train,,,
tumor,0.536078353,train,,,
tumor,0.830247718,train,,,
tumor,0.748834111,train,,,
tumor,0.643794147,train,,,
tumor,0.736955352,train,,,
tumor,0.572461387,train,,,
tumor,0.595348837,train,,,
tumor,0.734864301,train,,,
tumor,0.749600936,train,,,
tumor,0,train,,,
tumor,0.678304239,train,,,
tumor,0.595536663,train,,,
tumor,0.689938398,train,,,
tumor,0.597412481,train,,,
tumor,0.814947289,train,,,
tumor,0.706742011,train,,,
tumor,0.737159051,train,,,
tumor,0,train,,,
tumor,0.696774194,train,,,
tumor,0.658830275,train,,,
tumor,0.691398288,train,,,
tumor,0.818885449,train,,,
tumor,0.796939376,train,,,
tumor,0.751884422,train,,,
tumor,0.454183267,train,,,
tumor,0.705173084,train,,,
tumor,0.573135558,train,,,
tumor,0.591489362,train,,,
tumor,0.842982091,train,,,
tumor,0.669470143,train,,,
tumor,0.563013037,train,,,
tumor,0.578567996,train,,,
tumor,0.499690785,train,,,
tumor,0.791304348,train,,,
tumor,0.876397611,train,,,
tumor,0.779316313,train,,,
tumor,0.76202694,train,,,
tumor,0.578267113,train,,,
tumor,0.581246932,train,,,
tumor,0.643924626,train,,,
tumor,0.682454252,train,,,
tumor,0.023357664,train,,,
tumor,0.717255717,train,,,
tumor,0.837389381,train,,,
pancreas+tumor,0.906725612,train,,,
pancreas+tumor,0.761004089,train,,,
pancreas+tumor,0.549963083,train,,,
pancreas+tumor,0.647332546,train,,,
pancreas+tumor,0.707294262,train,,,
pancreas+tumor,0.596105567,train,,,
pancreas+tumor,0.754789595,train,,,
pancreas+tumor,0.784745763,train,,,
pancreas+tumor,0.84577481,train,,,
pancreas+tumor,0.815556346,train,,,
pancreas+tumor,0.6212315,train,,,
pancreas+tumor,0.613911653,train,,,
pancreas+tumor,0.774518558,train,,,
pancreas+tumor,0.829064423,train,,,
pancreas+tumor,0.742219264,train,,,
pancreas+tumor,0.817153209,train,,,
pancreas+tumor,0.62981888,train,,,
pancreas+tumor,0.539052203,train,,,
